DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
60 Metres,6.41,Lamont Marcell JACOBS,26 SEP 1994,ITA,"Štark Arena, Beograd (SRB) ",19 MAR 2022
100 Metres,9.80,Lamont Marcell JACOBS,26 SEP 1994,ITA,"National Stadium, Tokyo (JPN)",01 AUG 2021
200 Metres,19.72,Pietro MENNEA,28 JUN 1952,ITA,Ciudad de México (MEX),12 SEP 1979
200 Metres Short Track,20.25,Linford CHRISTIE,02 APR 1960,GBR,Liévin (FRA) ,19 FEB 1995
400 Metres,44.07,Matthew HUDSON-SMITH,26 OCT 1994,GBR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024
400 Metres,43.74,Matthew HUDSON-SMITH,26 OCT 1994,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024
400 Metres Short Track,45.05,Thomas SCHÖNLEBE,06 AUG 1965,GDR,Sindelfingen (GER) ,05 FEB 1988
400 Metres Short Track,45.05,Karsten WARHOLM,28 FEB 1996,NOR,"Emirates Arena, Glasgow (GBR) ",02 MAR 2019
800 Metres,1:41.11,Wilson KIPKETER,12 DEC 1972,DEN,Köln (GER),24 AUG 1997
800 Metres Short Track,1:42.67,Wilson KIPKETER,12 DEC 1972,DEN,"Palais Omnisports de Paris-Bercy, Paris (FRA) ",09 MAR 1997
1000 Metres,2:12.18,Sebastian COE,29 SEP 1956,GBR,Oslo (NOR),11 JUL 1981
1000 Metres Short Track,2:14.96,Wilson KIPKETER,12 DEC 1972,DEN,Birmingham (GBR) ,20 FEB 2000
1500 Metres,3:27.14,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Stadion Śląski, Chorzów (POL)",16 JUL 2023
1500 Metres,3:26.73,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Stade Louis II, Monaco (MON)",12 JUL 2024
1500 Metres Short Track,3:30.60,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Arena Stade Couvert, Liévin (FRA) ",17 FEB 2022
Mile,3:43.73,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Hayward Field, Eugene, OR (USA)",16 SEP 2023
Mile Short Track,3:48.93,George MILLS,12 MAY 1999,GBR,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2024
2000 Metres,4:43.13,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023
3000 Metres,7:23.63,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Hayward Field, Eugene, OR (USA)",17 SEP 2023
3000 Metres Short Track,7:24.68,Mohamed KATIR,17 FEB 1998,ESP,"Arena Stade Couvert, Liévin (FRA) ",15 FEB 2023
5000 Metres,12:45.01,Mohamed KATIR,17 FEB 1998,ESP,"Stade Louis II, Monaco (MON)",21 JUL 2023
5000 Metres Short Track,12:57.08,Marc SCOTT,21 DEC 1993,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",12 FEB 2022
"10,000 Metres",26:46.57,Mo FARAH,23 MAR 1983,GBR,"Hayward Field, Eugene, OR (USA)",03 JUN 2011
One Hour,21330,Mo FARAH,23 MAR 1983,GBR,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020
50 Metres Hurdles,6.36,Ladji DOUCOURÉ,28 MAR 1983,FRA,Liévin (FRA) ,26 FEB 2005
60 Metres Hurdles,7.30,Colin JACKSON,18 FEB 1967,GBR,Sindelfingen (GER) ,06 MAR 1994
110 Metres Hurdles,12.91,Colin JACKSON,18 FEB 1967,GBR,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993
400 Metres Hurdles,45.94,Karsten WARHOLM,28 FEB 1996,NOR,"National Stadium, Tokyo (JPN)",03 AUG 2021
3000 Metres Steeplechase,8:00.09,Mahiedine MEKHISSI,15 MAR 1985,FRA,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013
High Jump,2.42,Patrik SJÖBERG,05 JAN 1965,SWE,Stockholm (SWE),30 JUN 1987
High Jump,2.42,Carlo THRÄNHARDT,05 JUL 1957,FRG,Berlin (GER) ,26 FEB 1988
Pole Vault,6.23,Armand DUPLANTIS,10 NOV 1999,SWE,"Hayward Field, Eugene, OR (USA)",17 SEP 2023
Pole Vault,6.24,Armand DUPLANTIS,10 NOV 1999,SWE,"Egret Stadium, Xiamen (CHN)",20 APR 2024
Long Jump,8.86,Robert EMMIYAN,16 FEB 1965,URS,Tsakhadzor (ARM),22 MAY 1987
Triple Jump,18.29,Jonathan EDWARDS,10 MAY 1966,GBR,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995
Shot Put,23.06,Ulf TIMMERMANN,01 NOV 1962,GDR,Chania (GRE),22 MAY 1988
Discus Throw,74.08,Jürgen SCHULT,11 MAY 1960,GDR,Neubrandenburg (GDR),06 JUN 1986
Discus Throw,74.35,Mykolas ALEKNA,28 SEP 2002,LTU,"Millican Field at Throw Town, Ramona, OK (USA)",14 APR 2024
Hammer Throw,86.74,Yuriy SEDYKH,11 JUN 1955,URS,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
Javelin Throw,98.48,Jan ŽELEZNÝ,16 JUN 1966,CZE,Jena (GER),25 MAY 1996
5 Kilometres Road,13:12,Jimmy GRESSIER,04 MAY 1997,FRA,Monaco (MON),12 FEB 2023
5 Kilometres Road,13:12,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,Barcelona (ESP),31 DEC 2023
10 Kilometres Road,27:07,Jimmy GRESSIER,04 MAY 1997,FRA,Lille (FRA),17 MAR 2024
Half Marathon,59:13,Julien WANDERS,18 MAR 1996,SUI,Ras Al Khaimah (UAE),08 FEB 2019
Marathon,2:03:36,Bashir ABDI,10 FEB 1989,BEL,Rotterdam (NED),24 OCT 2021
100 Kilometres Road,6:05:35,Aleksandr SOROKIN,30 SEP 1981,LTU,Vilnius (LTU),14 MAY 2023
5000 Metres Race Walk Short Track,18:07.08,Mikhail SHCHENNIKOV,24 DEC 1967,RUS,Moskva (RUS) ,14 FEB 1995
"20,000 Metres Race Walk",1:18:35.2,Stefan JOHANSSON,11 APR 1967,SWE,Fana (NOR),15 MAY 1992
20 Kilometres Race Walk,1:17:02,Yohann DINIZ,01 JAN 1978,FRA,Arles (FRA),08 MAR 2015
"30,000 Metres Race Walk",2:01:44.1,Maurizio DAMILANO,06 APR 1957,ITA,Cuneo (ITA),03 OCT 1992
35 Kilometres Race Walk,2:23:14,Massimo STANO,27 FEB 1992,ITA,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
"50,000 Metres Race Walk",3:35:27.2,Yohann DINIZ,01 JAN 1978,FRA,Reims (FRA),12 MAR 2011
50 Kilometres Race Walk,3:32:33,Yohann DINIZ,01 JAN 1978,FRA,"Letzigrund, Zürich (SUI)",15 AUG 2014
Decathlon,9126,Kevin MAYER,10 FEB 1992,FRA,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018
Heptathlon Short Track,6479,Kevin MAYER,10 FEB 1992,FRA,"Kombank Arena, Beograd (SRB) ",05 MAR 2017
4x100 Metres Relay,37.36,German Democratic Republic,,GBR,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
4x200 Metres Relay,1:20.66,German Democratic Republic,,FRA,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
4x200 Metres Relay Short Track,1:22.11,German Democratic Republic,,GBR,Glasgow (GBR) ,03 MAR 1991
4x400 Metres Relay,2:56.60,German Democratic Republic,,GBR,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996
4x400 Metres Relay Short Track,3:01.77,German Democratic Republic,,POL,"Arena Birmingham, Birmingham (GBR) ",04 MAR 2018
4x800 Metres Relay,7:03.89,German Democratic Republic,,GBR,London (GBR),30 AUG 1982
4x800 Metres Relay Short Track,7:17.8,German Democratic Republic,,URS,"Festivalna, Sofia (BUL) ",14 MAR 1971
Distance Medley,9:24.07 !,German Democratic Republic,,POL,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
4x1500 Metres Relay,14:38.8,German Democratic Republic,,FRG,Köln (GER),17 AUG 1977
Road Relay,2:02:37,German Democratic Republic,,BEL,Tongeren (BEL),11 NOV 2022
